@RELATION ALGORITHM_RUNS_SAT15-INDU

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
002-80-12.cnf,1,Expectation_algorithm_survival_forest,810.294,ok
002-80-12.cnf,1,PAR10_algorithm_survival_forest,810.294,ok
002-80-12.cnf,1,isac,1289.13,ok
002-80-12.cnf,1,multiclass_algorithm_selector,1352.83,ok
002-80-12.cnf,1,per_algorithm_RandomForestRegressor_regressor,1289.13,ok
002-80-12.cnf,1,satzilla-11,1289.13,ok
002-80-12.cnf,1,sbs,1086.12,ok
002-80-12.cnf,1,sunny,810.294,ok
002-80-4.cnf,1,Expectation_algorithm_survival_forest,220.372,ok
002-80-4.cnf,1,PAR10_algorithm_survival_forest,60.4204,ok
002-80-4.cnf,1,isac,177.983,ok
002-80-4.cnf,1,multiclass_algorithm_selector,140.619,ok
002-80-4.cnf,1,per_algorithm_RandomForestRegressor_regressor,140.619,ok
002-80-4.cnf,1,satzilla-11,230.05,ok
002-80-4.cnf,1,sbs,220.398,ok
002-80-4.cnf,1,sunny,231.455,ok
002-80-8.cnf,1,Expectation_algorithm_survival_forest,366.564,ok
002-80-8.cnf,1,PAR10_algorithm_survival_forest,566.291,ok
002-80-8.cnf,1,isac,266.705,ok
002-80-8.cnf,1,multiclass_algorithm_selector,366.564,ok
002-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,266.705,ok
002-80-8.cnf,1,satzilla-11,266.705,ok
002-80-8.cnf,1,sbs,663.563,ok
002-80-8.cnf,1,sunny,266.705,ok
003-80-8.cnf,1,Expectation_algorithm_survival_forest,535.594,ok
003-80-8.cnf,1,PAR10_algorithm_survival_forest,416.677,ok
003-80-8.cnf,1,isac,422.083,ok
003-80-8.cnf,1,multiclass_algorithm_selector,416.677,ok
003-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,270.865,ok
003-80-8.cnf,1,satzilla-11,270.865,ok
003-80-8.cnf,1,sbs,715.135,ok
003-80-8.cnf,1,sunny,3600.0,timeout
004-80-8.cnf,1,Expectation_algorithm_survival_forest,182.657,ok
004-80-8.cnf,1,PAR10_algorithm_survival_forest,182.657,ok
004-80-8.cnf,1,isac,1057.58,ok
004-80-8.cnf,1,multiclass_algorithm_selector,159.109,ok
004-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,159.109,ok
004-80-8.cnf,1,satzilla-11,182.657,ok
004-80-8.cnf,1,sbs,307.364,ok
004-80-8.cnf,1,sunny,182.657,ok
005-80-12.cnf,1,Expectation_algorithm_survival_forest,799.515,ok
005-80-12.cnf,1,PAR10_algorithm_survival_forest,501.396,ok
005-80-12.cnf,1,isac,2069.7,ok
005-80-12.cnf,1,multiclass_algorithm_selector,501.396,ok
005-80-12.cnf,1,per_algorithm_RandomForestRegressor_regressor,336.558,ok
005-80-12.cnf,1,satzilla-11,501.396,ok
005-80-12.cnf,1,sbs,1037.03,ok
005-80-12.cnf,1,sunny,1142.3,ok
007-80-12.cnf,1,Expectation_algorithm_survival_forest,413.272,ok
007-80-12.cnf,1,PAR10_algorithm_survival_forest,413.272,ok
007-80-12.cnf,1,isac,1633.28,ok
007-80-12.cnf,1,multiclass_algorithm_selector,506.221,ok
007-80-12.cnf,1,per_algorithm_RandomForestRegressor_regressor,413.272,ok
007-80-12.cnf,1,satzilla-11,413.272,ok
007-80-12.cnf,1,sbs,904.608,ok
007-80-12.cnf,1,sunny,413.272,ok
007-80-8.cnf,1,Expectation_algorithm_survival_forest,276.947,ok
007-80-8.cnf,1,PAR10_algorithm_survival_forest,489.378,ok
007-80-8.cnf,1,isac,1042.13,ok
007-80-8.cnf,1,multiclass_algorithm_selector,104.28,ok
007-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,239.376,ok
007-80-8.cnf,1,satzilla-11,104.28,ok
007-80-8.cnf,1,sbs,752.39,ok
007-80-8.cnf,1,sunny,659.778,ok
008-80-12.cnf,1,Expectation_algorithm_survival_forest,1715.41,ok
008-80-12.cnf,1,PAR10_algorithm_survival_forest,1715.41,ok
008-80-12.cnf,1,isac,465.337,ok
008-80-12.cnf,1,multiclass_algorithm_selector,584.16,ok
008-80-12.cnf,1,per_algorithm_RandomForestRegressor_regressor,465.337,ok
008-80-12.cnf,1,satzilla-11,1715.41,ok
008-80-12.cnf,1,sbs,1005.66,ok
008-80-12.cnf,1,sunny,1080.68,ok
008-80-4.cnf,1,Expectation_algorithm_survival_forest,272.811,ok
008-80-4.cnf,1,PAR10_algorithm_survival_forest,272.811,ok
008-80-4.cnf,1,isac,152.296,ok
008-80-4.cnf,1,multiclass_algorithm_selector,208.407,ok
008-80-4.cnf,1,per_algorithm_RandomForestRegressor_regressor,152.296,ok
008-80-4.cnf,1,satzilla-11,208.407,ok
008-80-4.cnf,1,sbs,184.056,ok
008-80-4.cnf,1,sunny,272.811,ok
008-80-8.cnf,1,Expectation_algorithm_survival_forest,767.621,ok
008-80-8.cnf,1,PAR10_algorithm_survival_forest,737.148,ok
008-80-8.cnf,1,isac,307.748,ok
008-80-8.cnf,1,multiclass_algorithm_selector,307.748,ok
008-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,307.748,ok
008-80-8.cnf,1,satzilla-11,690.338,ok
008-80-8.cnf,1,sbs,746.31,ok
008-80-8.cnf,1,sunny,737.148,ok
009-23-64.cnf,1,Expectation_algorithm_survival_forest,3600.0,timeout
009-23-64.cnf,1,PAR10_algorithm_survival_forest,3600.0,timeout
009-23-64.cnf,1,isac,3600.0,timeout
009-23-64.cnf,1,multiclass_algorithm_selector,3600.0,timeout
009-23-64.cnf,1,per_algorithm_RandomForestRegressor_regressor,3600.0,timeout
009-23-64.cnf,1,satzilla-11,3600.0,timeout
009-23-64.cnf,1,sbs,3600.0,timeout
009-23-64.cnf,1,sunny,3600.0,timeout
009-80-4.cnf,1,Expectation_algorithm_survival_forest,121.565,ok
009-80-4.cnf,1,PAR10_algorithm_survival_forest,157.784,ok
009-80-4.cnf,1,isac,179.076,ok
009-80-4.cnf,1,multiclass_algorithm_selector,157.784,ok
009-80-4.cnf,1,per_algorithm_RandomForestRegressor_regressor,179.076,ok
009-80-4.cnf,1,satzilla-11,157.636,ok
009-80-4.cnf,1,sbs,166.899,ok
009-80-4.cnf,1,sunny,568.593,ok
009-80-8.cnf,1,Expectation_algorithm_survival_forest,908.852,ok
009-80-8.cnf,1,PAR10_algorithm_survival_forest,908.852,ok
009-80-8.cnf,1,isac,242.155,ok
009-80-8.cnf,1,multiclass_algorithm_selector,242.155,ok
009-80-8.cnf,1,per_algorithm_RandomForestRegressor_regressor,242.155,ok
009-80-8.cnf,1,satzilla-11,242.155,ok
009-80-8.cnf,1,sbs,604.259,ok
009-80-8.cnf,1,sunny,930.923,ok
010-22-144.cnf,1,Expectation_algorithm_survival_forest,3600.0,timeout
010-22-144.cnf,1,PAR10_algorithm_survival_forest,3600.0,timeout
010-22-144.cnf,1,isac,3600.0,timeout
010-22-144.cnf,1,multiclass_algorithm_selector,100.79,ok
010-22-144.cnf,1,per_algorithm_RandomForestRegressor_regressor,100.79,ok
010-22-144.cnf,1,satzilla-11,100.79,ok
010-22-144.cnf,1,sbs,3600.0,timeout
010-22-144.cnf,1,sunny,3600.0,timeout
010-23-80.cnf,1,Expectation_algorithm_survival_forest,3600.0,timeout
010-23-80.cnf,1,PAR10_algorithm_survival_forest,3600.0,timeout
010-23-80.cnf,1,isac,3600.0,timeout
010-23-80.cnf,1,multiclass_algorithm_selector,3600.0,timeout
010-23-80.cnf,1,per_algorithm_RandomForestRegressor_regressor,3600.0,timeout
010-23-80.cnf,1,satzilla-11,3600.0,timeout
010-23-80.cnf,1,sbs,3600.0,timeout
010-23-80.cnf,1,sunny,3600.0,timeout
010-80-12.cnf,1,Expectation_algorithm_survival_forest,715.553,ok
010-80-12.cnf,1,PAR10_algorithm_survival_forest,897.154,ok
010-80-12.cnf,1,isac,941.822,ok
010-80-12.cnf,1,multiclass_algorithm_selector,941.822,ok
010-80-12.cnf,1,per_algorithm_RandomForestRegressor_regressor,586.116,ok
010-80-12.cnf,1,satzilla-11,941.822,ok
010-80-12.cnf,1,sbs,927.6,ok
010-80-12.cnf,1,sunny,897.154,ok
10pipe_q0_k.cnf,1,Expectation_algorithm_survival_forest,169.407,ok
10pipe_q0_k.cnf,1,PAR10_algorithm_survival_forest,169.407,ok
10pipe_q0_k.cnf,1,isac,191.755,ok
10pipe_q0_k.cnf,1,multiclass_algorithm_selector,169.407,ok
10pipe_q0_k.cnf,1,per_algorithm_RandomForestRegressor_regressor,169.407,ok
10pipe_q0_k.cnf,1,satzilla-11,169.407,ok
10pipe_q0_k.cnf,1,sbs,344.441,ok
