@RELATION ALGORITHM_RUNS_GRAPHS-2015

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
A.01,1,Expectation_algorithm_survival_forest,17.0,ok
A.01,1,PAR10_algorithm_survival_forest,17.0,ok
A.01,1,isac,17.0,ok
A.01,1,multiclass_algorithm_selector,17.0,ok
A.01,1,oracle,17.0,ok
A.01,1,per_algorithm_RandomForestRegressor_regressor,32.0,ok
A.01,1,satzilla-11,17.0,ok
A.01,1,sbs,349.0,ok
A.01,1,sunny,17.0,ok
A.02,1,Expectation_algorithm_survival_forest,141.0,ok
A.02,1,PAR10_algorithm_survival_forest,141.0,ok
A.02,1,isac,60.0,ok
A.02,1,multiclass_algorithm_selector,60.0,ok
A.02,1,oracle,60.0,ok
A.02,1,per_algorithm_RandomForestRegressor_regressor,60.0,ok
A.02,1,satzilla-11,60.0,ok
A.02,1,sbs,133.0,ok
A.02,1,sunny,60.0,ok
A.03,1,Expectation_algorithm_survival_forest,5.0,ok
A.03,1,PAR10_algorithm_survival_forest,5.0,ok
A.03,1,isac,5.0,ok
A.03,1,multiclass_algorithm_selector,5.0,ok
A.03,1,oracle,5.0,ok
A.03,1,per_algorithm_RandomForestRegressor_regressor,5.0,ok
A.03,1,satzilla-11,5.0,ok
A.03,1,sbs,18.0,ok
A.03,1,sunny,5.0,ok
A.04,1,Expectation_algorithm_survival_forest,12.0,ok
A.04,1,PAR10_algorithm_survival_forest,12.0,ok
A.04,1,isac,6.0,ok
A.04,1,multiclass_algorithm_selector,6.0,ok
A.04,1,oracle,6.0,ok
A.04,1,per_algorithm_RandomForestRegressor_regressor,6.0,ok
A.04,1,satzilla-11,6.0,ok
A.04,1,sbs,14.0,ok
A.04,1,sunny,6.0,ok
A.05,1,Expectation_algorithm_survival_forest,266.0,ok
A.05,1,PAR10_algorithm_survival_forest,266.0,ok
A.05,1,isac,168.0,ok
A.05,1,multiclass_algorithm_selector,168.0,ok
A.05,1,oracle,168.0,ok
A.05,1,per_algorithm_RandomForestRegressor_regressor,168.0,ok
A.05,1,satzilla-11,168.0,ok
A.05,1,sbs,412.0,ok
A.05,1,sunny,168.0,ok
A.06,1,Expectation_algorithm_survival_forest,12.0,ok
A.06,1,PAR10_algorithm_survival_forest,12.0,ok
A.06,1,isac,6.0,ok
A.06,1,multiclass_algorithm_selector,6.0,ok
A.06,1,oracle,6.0,ok
A.06,1,per_algorithm_RandomForestRegressor_regressor,6.0,ok
A.06,1,satzilla-11,6.0,ok
A.06,1,sbs,12.0,ok
A.06,1,sunny,6.0,ok
A.07,1,Expectation_algorithm_survival_forest,54.0,ok
A.07,1,PAR10_algorithm_survival_forest,54.0,ok
A.07,1,isac,54.0,ok
A.07,1,multiclass_algorithm_selector,54.0,ok
A.07,1,oracle,16.0,ok
