@RELATION ALGORITHM_RUNS_MAXSAT-PMS-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
10tree110p.wcnf,1,Expectation_algorithm_survival_forest,3.43,ok
10tree110p.wcnf,1,PAR10_algorithm_survival_forest,3.43,ok
10tree110p.wcnf,1,isac,1.32,ok
10tree110p.wcnf,1,multiclass_algorithm_selector,0.9,ok
10tree110p.wcnf,1,oracle,0.9,ok
10tree110p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,3.43,ok
10tree110p.wcnf,1,satzilla-11,0.9,ok
10tree110p.wcnf,1,sbs,3.43,ok
10tree110p.wcnf,1,sunny,1.32,ok
10tree115p.wcnf,1,Expectation_algorithm_survival_forest,46.47,ok
10tree115p.wcnf,1,PAR10_algorithm_survival_forest,46.47,ok
10tree115p.wcnf,1,isac,46.47,ok
10tree115p.wcnf,1,multiclass_algorithm_selector,46.47,ok
10tree115p.wcnf,1,oracle,42.6,ok
10tree115p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,42.6,ok
10tree115p.wcnf,1,satzilla-11,46.47,ok
10tree115p.wcnf,1,sbs,61.61,ok
10tree115p.wcnf,1,sunny,202.28,ok
10tree120p.wcnf,1,Expectation_algorithm_survival_forest,1.59,ok
10tree120p.wcnf,1,PAR10_algorithm_survival_forest,1.59,ok
10tree120p.wcnf,1,isac,1.59,ok
10tree120p.wcnf,1,multiclass_algorithm_selector,1.59,ok
10tree120p.wcnf,1,oracle,1.48,ok
10tree120p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,2.21,ok
10tree120p.wcnf,1,satzilla-11,1.59,ok
10tree120p.wcnf,1,sbs,1.59,ok
10tree120p.wcnf,1,sunny,8.01,ok
10tree125p.wcnf,1,Expectation_algorithm_survival_forest,41.23,ok
10tree125p.wcnf,1,PAR10_algorithm_survival_forest,41.23,ok
10tree125p.wcnf,1,isac,17.32,ok
10tree125p.wcnf,1,multiclass_algorithm_selector,21.25,ok
10tree125p.wcnf,1,oracle,17.32,ok
10tree125p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,41.23,ok
10tree125p.wcnf,1,satzilla-11,21.25,ok
10tree125p.wcnf,1,sbs,17.32,ok
10tree125p.wcnf,1,sunny,21.25,ok
10tree130p.wcnf,1,Expectation_algorithm_survival_forest,1800,timeout
10tree130p.wcnf,1,PAR10_algorithm_survival_forest,735.89,ok
10tree130p.wcnf,1,isac,1800,timeout
10tree130p.wcnf,1,multiclass_algorithm_selector,735.89,ok
10tree130p.wcnf,1,oracle,735.89,ok
10tree130p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,735.89,ok
10tree130p.wcnf,1,satzilla-11,735.89,ok
10tree130p.wcnf,1,sbs,1800,timeout
10tree130p.wcnf,1,sunny,735.89,ok
10tree210p.wcnf,1,Expectation_algorithm_survival_forest,0.81,ok
10tree210p.wcnf,1,PAR10_algorithm_survival_forest,0.81,ok
10tree210p.wcnf,1,isac,1.55,ok
10tree210p.wcnf,1,multiclass_algorithm_selector,1.55,ok
10tree210p.wcnf,1,oracle,0.69,ok
10tree210p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,0.69,ok
10tree210p.wcnf,1,satzilla-11,1.55,ok
10tree210p.wcnf,1,sbs,2.76,ok
10tree210p.wcnf,1,sunny,2.3,ok
10tree215p.wcnf,1,Expectation_algorithm_survival_forest,17.73,ok
10tree215p.wcnf,1,PAR10_algorithm_survival_forest,17.73,ok
10tree215p.wcnf,1,isac,11.14,ok
10tree215p.wcnf,1,multiclass_algorithm_selector,17.73,ok
10tree215p.wcnf,1,oracle,10.58,ok
10tree215p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,10.58,ok
10tree215p.wcnf,1,satzilla-11,18.14,ok
10tree215p.wcnf,1,sbs,23.35,ok
10tree215p.wcnf,1,sunny,11.14,ok
10tree220p.wcnf,1,Expectation_algorithm_survival_forest,183.25,ok
10tree220p.wcnf,1,PAR10_algorithm_survival_forest,183.25,ok
10tree220p.wcnf,1,isac,443.04,ok
10tree220p.wcnf,1,multiclass_algorithm_selector,183.25,ok
10tree220p.wcnf,1,oracle,183.25,ok
10tree220p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,443.04,ok
10tree220p.wcnf,1,satzilla-11,183.25,ok
10tree220p.wcnf,1,sbs,443.04,ok
10tree220p.wcnf,1,sunny,443.04,ok
10tree225p.wcnf,1,Expectation_algorithm_survival_forest,13.96,ok
10tree225p.wcnf,1,PAR10_algorithm_survival_forest,13.96,ok
10tree225p.wcnf,1,isac,11.08,ok
10tree225p.wcnf,1,multiclass_algorithm_selector,11.08,ok
10tree225p.wcnf,1,oracle,11.08,ok
10tree225p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,11.08,ok
10tree225p.wcnf,1,satzilla-11,11.08,ok
10tree225p.wcnf,1,sbs,13.96,ok
10tree225p.wcnf,1,sunny,11.08,ok
10tree230p.wcnf,1,Expectation_algorithm_survival_forest,11.85,ok
10tree230p.wcnf,1,PAR10_algorithm_survival_forest,11.85,ok
10tree230p.wcnf,1,isac,4.51,ok
10tree230p.wcnf,1,multiclass_algorithm_selector,0.37,ok
10tree230p.wcnf,1,oracle,0.37,ok
10tree230p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,2.13,ok
10tree230p.wcnf,1,satzilla-11,2.62,ok
10tree230p.wcnf,1,sbs,4.51,ok
10tree230p.wcnf,1,sunny,4.51,ok
10tree305p.wcnf,1,Expectation_algorithm_survival_forest,1800,timeout
10tree305p.wcnf,1,PAR10_algorithm_survival_forest,1800,timeout
10tree305p.wcnf,1,isac,1800,timeout
10tree305p.wcnf,1,multiclass_algorithm_selector,1800,timeout
10tree305p.wcnf,1,oracle,1800,timeout
10tree305p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,1800,timeout
10tree305p.wcnf,1,satzilla-11,1800,timeout
10tree305p.wcnf,1,sbs,1800,timeout
10tree305p.wcnf,1,sunny,1800,timeout
10tree310p.wcnf,1,Expectation_algorithm_survival_forest,1800,timeout
10tree310p.wcnf,1,PAR10_algorithm_survival_forest,1800,timeout
10tree310p.wcnf,1,isac,1800,timeout
10tree310p.wcnf,1,multiclass_algorithm_selector,1800,timeout
10tree310p.wcnf,1,oracle,1800,timeout
10tree310p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,1800,timeout
10tree310p.wcnf,1,satzilla-11,1800,timeout
10tree310p.wcnf,1,sbs,1800,timeout
10tree310p.wcnf,1,sunny,1800,timeout
10tree315p.wcnf,1,Expectation_algorithm_survival_forest,4.87,ok
10tree315p.wcnf,1,PAR10_algorithm_survival_forest,11.91,ok
10tree315p.wcnf,1,isac,3.4,ok
10tree315p.wcnf,1,multiclass_algorithm_selector,4.87,ok
10tree315p.wcnf,1,oracle,3.0,ok
10tree315p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,4.87,ok
10tree315p.wcnf,1,satzilla-11,4.87,ok
10tree315p.wcnf,1,sbs,3.0,ok
10tree315p.wcnf,1,sunny,29.62,ok
10tree320p.wcnf,1,Expectation_algorithm_survival_forest,1800,timeout
10tree320p.wcnf,1,PAR10_algorithm_survival_forest,1800,timeout
10tree320p.wcnf,1,isac,1800,timeout
10tree320p.wcnf,1,multiclass_algorithm_selector,1800,timeout
10tree320p.wcnf,1,oracle,1800,timeout
10tree320p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,1800,timeout
10tree320p.wcnf,1,satzilla-11,1800,timeout
10tree320p.wcnf,1,sbs,1800,timeout
10tree320p.wcnf,1,sunny,1800,timeout
10tree325p.wcnf,1,Expectation_algorithm_survival_forest,0.73,ok
10tree325p.wcnf,1,PAR10_algorithm_survival_forest,0.73,ok
10tree325p.wcnf,1,isac,1800,timeout
10tree325p.wcnf,1,multiclass_algorithm_selector,1800,timeout
10tree325p.wcnf,1,oracle,0.29,ok
10tree325p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,0.73,ok
10tree325p.wcnf,1,satzilla-11,1800,timeout
10tree325p.wcnf,1,sbs,1800,timeout
10tree325p.wcnf,1,sunny,0.29,ok
10tree330p.wcnf,1,Expectation_algorithm_survival_forest,0.06,ok
10tree330p.wcnf,1,PAR10_algorithm_survival_forest,0.06,ok
10tree330p.wcnf,1,isac,0.06,ok
10tree330p.wcnf,1,multiclass_algorithm_selector,0.07,ok
10tree330p.wcnf,1,oracle,0.06,ok
10tree330p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,0.06,ok
10tree330p.wcnf,1,satzilla-11,0.07,ok
10tree330p.wcnf,1,sbs,0.15,ok
10tree330p.wcnf,1,sunny,0.06,ok
10tree405p.wcnf,1,Expectation_algorithm_survival_forest,18.86,ok
10tree405p.wcnf,1,PAR10_algorithm_survival_forest,18.86,ok
10tree405p.wcnf,1,isac,1.31,ok
10tree405p.wcnf,1,multiclass_algorithm_selector,10.41,ok
10tree405p.wcnf,1,oracle,0.26,ok
10tree405p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,10.41,ok
10tree405p.wcnf,1,satzilla-11,10.41,ok
10tree405p.wcnf,1,sbs,0.53,ok
10tree405p.wcnf,1,sunny,10.41,ok
10tree405posib.wcnf,1,Expectation_algorithm_survival_forest,0.76,ok
10tree405posib.wcnf,1,PAR10_algorithm_survival_forest,0.41,ok
10tree405posib.wcnf,1,isac,0.41,ok
10tree405posib.wcnf,1,multiclass_algorithm_selector,0.41,ok
10tree405posib.wcnf,1,oracle,0.38,ok
10tree405posib.wcnf,1,per_algorithm_RandomForestRegressor_regressor,0.41,ok
10tree405posib.wcnf,1,satzilla-11,0.41,ok
10tree405posib.wcnf,1,sbs,0.41,ok
10tree405posib.wcnf,1,sunny,0.38,ok
10tree410p.wcnf,1,Expectation_algorithm_survival_forest,0.13,ok
10tree410p.wcnf,1,PAR10_algorithm_survival_forest,0.13,ok
10tree410p.wcnf,1,isac,0.08,ok
10tree410p.wcnf,1,multiclass_algorithm_selector,0.08,ok
10tree410p.wcnf,1,oracle,0.08,ok
10tree410p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,0.14,ok
10tree410p.wcnf,1,satzilla-11,0.08,ok
10tree410p.wcnf,1,sbs,0.13,ok
10tree410p.wcnf,1,sunny,0.76,ok
10tree415p.wcnf,1,Expectation_algorithm_survival_forest,4.72,ok
10tree415p.wcnf,1,PAR10_algorithm_survival_forest,4.72,ok
10tree415p.wcnf,1,isac,7.32,ok
10tree415p.wcnf,1,multiclass_algorithm_selector,4.72,ok
10tree415p.wcnf,1,oracle,4.72,ok
10tree415p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,4.72,ok
10tree415p.wcnf,1,satzilla-11,4.72,ok
10tree415p.wcnf,1,sbs,7.32,ok
10tree415p.wcnf,1,sunny,4.72,ok
10tree420p.wcnf,1,Expectation_algorithm_survival_forest,10.23,ok
10tree420p.wcnf,1,PAR10_algorithm_survival_forest,10.23,ok
10tree420p.wcnf,1,isac,13.83,ok
10tree420p.wcnf,1,multiclass_algorithm_selector,10.23,ok
10tree420p.wcnf,1,oracle,9.9,ok
10tree420p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,10.23,ok
10tree420p.wcnf,1,satzilla-11,10.23,ok
10tree420p.wcnf,1,sbs,13.83,ok
10tree420p.wcnf,1,sunny,13.83,ok
10tree425p.wcnf,1,Expectation_algorithm_survival_forest,271.67,ok
10tree425p.wcnf,1,PAR10_algorithm_survival_forest,271.67,ok
10tree425p.wcnf,1,isac,1268.44,ok
10tree425p.wcnf,1,multiclass_algorithm_selector,1800,timeout
10tree425p.wcnf,1,oracle,41.23,ok
10tree425p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,1268.44,ok
10tree425p.wcnf,1,satzilla-11,1800,timeout
10tree425p.wcnf,1,sbs,1268.44,ok
10tree425p.wcnf,1,sunny,41.23,ok
10tree430p.wcnf,1,Expectation_algorithm_survival_forest,7.3,ok
10tree430p.wcnf,1,PAR10_algorithm_survival_forest,7.3,ok
10tree430p.wcnf,1,isac,1171.99,ok
10tree430p.wcnf,1,multiclass_algorithm_selector,30.59,ok
10tree430p.wcnf,1,oracle,7.2,ok
10tree430p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,7.3,ok
10tree430p.wcnf,1,satzilla-11,30.59,ok
10tree430p.wcnf,1,sbs,1171.99,ok
10tree430p.wcnf,1,sunny,30.59,ok
10tree505p.wcnf,1,Expectation_algorithm_survival_forest,317.94,ok
10tree505p.wcnf,1,PAR10_algorithm_survival_forest,301.94,ok
10tree505p.wcnf,1,isac,317.94,ok
10tree505p.wcnf,1,multiclass_algorithm_selector,301.94,ok
10tree505p.wcnf,1,oracle,146.27,ok
10tree505p.wcnf,1,per_algorithm_RandomForestRegressor_regressor,301.94,ok
10tree505p.wcnf,1,satzilla-11,301.94,ok
10tree505p.wcnf,1,sbs,301.94,ok
10tree505p.wcnf,1,sunny,684.39,ok
10tree505posib.wcnf,1,Expectation_algorithm_survival_forest,1.27,ok
