@RELATION ALGORITHM_RUNS_MIP-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
30_70_45_095_100,1,Expectation_algorithm_survival_forest,96.0,ok
30_70_45_095_100,1,PAR10_algorithm_survival_forest,124.0,ok
30_70_45_095_100,1,isac,96.0,ok
30_70_45_095_100,1,multiclass_algorithm_selector,96.0,ok
30_70_45_095_100,1,oracle,96.0,ok
30_70_45_095_100,1,per_algorithm_RandomForestRegressor_regressor,96.0,ok
30_70_45_095_100,1,satzilla-11,96.0,ok
30_70_45_095_100,1,sbs,124.0,ok
30_70_45_095_100,1,sunny,124.0,ok
30n20b8,1,Expectation_algorithm_survival_forest,13.0,ok
30n20b8,1,PAR10_algorithm_survival_forest,13.0,ok
30n20b8,1,isac,87.0,ok
30n20b8,1,multiclass_algorithm_selector,13.0,ok
30n20b8,1,oracle,13.0,ok
30n20b8,1,per_algorithm_RandomForestRegressor_regressor,7200,timeout
30n20b8,1,satzilla-11,13.0,ok
30n20b8,1,sbs,87.0,ok
30n20b8,1,sunny,13.0,ok
50v-10,1,Expectation_algorithm_survival_forest,249.0,ok
50v-10,1,PAR10_algorithm_survival_forest,249.0,ok
50v-10,1,isac,249.0,ok
50v-10,1,multiclass_algorithm_selector,249.0,ok
50v-10,1,oracle,74.0,ok
50v-10,1,per_algorithm_RandomForestRegressor_regressor,275.0,ok
50v-10,1,satzilla-11,249.0,ok
50v-10,1,sbs,275.0,ok
50v-10,1,sunny,275.0,ok
a1c1s1,1,Expectation_algorithm_survival_forest,3.0,ok
a1c1s1,1,PAR10_algorithm_survival_forest,3.0,ok
a1c1s1,1,isac,3.0,ok
a1c1s1,1,multiclass_algorithm_selector,3.0,ok
a1c1s1,1,oracle,3.0,ok
a1c1s1,1,per_algorithm_RandomForestRegressor_regressor,3.0,ok
a1c1s1,1,satzilla-11,3.0,ok
a1c1s1,1,sbs,3.0,ok
a1c1s1,1,sunny,3.0,ok
acc-tight4,1,Expectation_algorithm_survival_forest,110.0,ok
acc-tight4,1,PAR10_algorithm_survival_forest,110.0,ok
acc-tight4,1,isac,110.0,ok
acc-tight4,1,multiclass_algorithm_selector,23.0,ok
acc-tight4,1,oracle,23.0,ok
acc-tight4,1,per_algorithm_RandomForestRegressor_regressor,110.0,ok
acc-tight4,1,satzilla-11,23.0,ok
acc-tight4,1,sbs,110.0,ok
acc-tight4,1,sunny,110.0,ok
acc-tight5,1,Expectation_algorithm_survival_forest,401.0,ok
acc-tight5,1,PAR10_algorithm_survival_forest,401.0,ok
acc-tight5,1,isac,732.0,ok
acc-tight5,1,multiclass_algorithm_selector,401.0,ok
acc-tight5,1,oracle,401.0,ok
acc-tight5,1,per_algorithm_RandomForestRegressor_regressor,401.0,ok
acc-tight5,1,satzilla-11,401.0,ok
acc-tight5,1,sbs,732.0,ok
acc-tight5,1,sunny,732.0,ok
acc-tight6,1,Expectation_algorithm_survival_forest,3979.0,ok
acc-tight6,1,PAR10_algorithm_survival_forest,3979.0,ok
acc-tight6,1,isac,7200,timeout
acc-tight6,1,multiclass_algorithm_selector,3979.0,ok
acc-tight6,1,oracle,3439.0,ok
acc-tight6,1,per_algorithm_RandomForestRegressor_regressor,7200,timeout
acc-tight6,1,satzilla-11,3979.0,ok
acc-tight6,1,sbs,3979.0,ok
acc-tight6,1,sunny,3979.0,ok
aflow40b,1,Expectation_algorithm_survival_forest,22.0,ok
aflow40b,1,PAR10_algorithm_survival_forest,22.0,ok
aflow40b,1,isac,22.0,ok
aflow40b,1,multiclass_algorithm_selector,32.0,ok
aflow40b,1,oracle,22.0,ok
aflow40b,1,per_algorithm_RandomForestRegressor_regressor,22.0,ok
aflow40b,1,satzilla-11,32.0,ok
aflow40b,1,sbs,112.0,ok
aflow40b,1,sunny,22.0,ok
air04,1,Expectation_algorithm_survival_forest,39.0,ok
air04,1,PAR10_algorithm_survival_forest,7.0,ok
air04,1,isac,7.0,ok
air04,1,multiclass_algorithm_selector,7.0,ok
air04,1,oracle,7.0,ok
air04,1,per_algorithm_RandomForestRegressor_regressor,7.0,ok
air04,1,satzilla-11,7.0,ok
air04,1,sbs,7.0,ok
air04,1,sunny,39.0,ok
app1-2,1,Expectation_algorithm_survival_forest,6.0,ok
app1-2,1,PAR10_algorithm_survival_forest,6.0,ok
app1-2,1,isac,6.0,ok
app1-2,1,multiclass_algorithm_selector,48.0,ok
app1-2,1,oracle,6.0,ok
app1-2,1,per_algorithm_RandomForestRegressor_regressor,48.0,ok
app1-2,1,satzilla-11,48.0,ok
app1-2,1,sbs,6.0,ok
app1-2,1,sunny,48.0,ok
ash608gpia-3col,1,Expectation_algorithm_survival_forest,419.0,ok
ash608gpia-3col,1,PAR10_algorithm_survival_forest,419.0,ok
ash608gpia-3col,1,isac,419.0,ok
ash608gpia-3col,1,multiclass_algorithm_selector,128.0,ok
ash608gpia-3col,1,oracle,128.0,ok
ash608gpia-3col,1,per_algorithm_RandomForestRegressor_regressor,128.0,ok
ash608gpia-3col,1,satzilla-11,419.0,ok
ash608gpia-3col,1,sbs,419.0,ok
ash608gpia-3col,1,sunny,284.0,ok
atlanta-ip,1,Expectation_algorithm_survival_forest,8.0,ok
atlanta-ip,1,PAR10_algorithm_survival_forest,25.0,ok
atlanta-ip,1,isac,29.0,ok
atlanta-ip,1,multiclass_algorithm_selector,8.0,ok
atlanta-ip,1,oracle,8.0,ok
atlanta-ip,1,per_algorithm_RandomForestRegressor_regressor,25.0,ok
atlanta-ip,1,satzilla-11,8.0,ok
atlanta-ip,1,sbs,25.0,ok
