@RELATION ALGORITHM_RUNS_QBF-2016

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
AR-fixpoint-5,1,Expectation_algorithm_survival_forest,1800,timeout
AR-fixpoint-5,1,PAR10_algorithm_survival_forest,1800,timeout
AR-fixpoint-5,1,isac,1800,timeout
AR-fixpoint-5,1,multiclass_algorithm_selector,1800,timeout
AR-fixpoint-5,1,oracle,1800,timeout
AR-fixpoint-5,1,per_algorithm_RandomForestRegressor_regressor,1800,timeout
AR-fixpoint-5,1,satzilla-11,1800,timeout
AR-fixpoint-5,1,sbs,1800,timeout
AR-fixpoint-5,1,sunny,1800,timeout
Adder2-10-s,1,Expectation_algorithm_survival_forest,0.0,ok
Adder2-10-s,1,PAR10_algorithm_survival_forest,0.0,ok
Adder2-10-s,1,isac,0.01,ok
Adder2-10-s,1,multiclass_algorithm_selector,0.0,ok
Adder2-10-s,1,oracle,0.0,ok
Adder2-10-s,1,per_algorithm_RandomForestRegressor_regressor,0.03,ok
Adder2-10-s,1,satzilla-11,0.0,ok
Adder2-10-s,1,sbs,0.01,ok
Adder2-10-s,1,sunny,0.0,ok
Adder2-16-s,1,Expectation_algorithm_survival_forest,7.52,ok
Adder2-16-s,1,PAR10_algorithm_survival_forest,33.23,ok
Adder2-16-s,1,isac,7.52,ok
Adder2-16-s,1,multiclass_algorithm_selector,7.52,ok
Adder2-16-s,1,oracle,7.52,ok
Adder2-16-s,1,per_algorithm_RandomForestRegressor_regressor,41.08,ok
Adder2-16-s,1,satzilla-11,7.52,ok
Adder2-16-s,1,sbs,1800,timeout
Adder2-16-s,1,sunny,7.52,ok
Adder2-2-c,1,Expectation_algorithm_survival_forest,1.72,ok
Adder2-2-c,1,PAR10_algorithm_survival_forest,39.11,ok
Adder2-2-c,1,isac,0.31,ok
Adder2-2-c,1,multiclass_algorithm_selector,0.31,ok
Adder2-2-c,1,oracle,0.31,ok
Adder2-2-c,1,per_algorithm_RandomForestRegressor_regressor,0.31,ok
Adder2-2-c,1,satzilla-11,0.31,ok
Adder2-2-c,1,sbs,104.37,ok
Adder2-2-c,1,sunny,1.73,ok
Adder2-8-c,1,Expectation_algorithm_survival_forest,0.15,ok
Adder2-8-c,1,PAR10_algorithm_survival_forest,0.15,ok
Adder2-8-c,1,isac,0.15,ok
Adder2-8-c,1,multiclass_algorithm_selector,0.15,ok
Adder2-8-c,1,oracle,0.15,ok
Adder2-8-c,1,per_algorithm_RandomForestRegressor_regressor,29.52,ok
Adder2-8-c,1,satzilla-11,0.15,ok
Adder2-8-c,1,sbs,93.09,ok
Adder2-8-c,1,sunny,0.15,ok
Adder2-8-s,1,Expectation_algorithm_survival_forest,111.07,ok
Adder2-8-s,1,PAR10_algorithm_survival_forest,111.07,ok
Adder2-8-s,1,isac,111.07,ok
Adder2-8-s,1,multiclass_algorithm_selector,43.13,ok
Adder2-8-s,1,oracle,43.13,ok
Adder2-8-s,1,per_algorithm_RandomForestRegressor_regressor,123.4,ok
Adder2-8-s,1,satzilla-11,1800,timeout
Adder2-8-s,1,sbs,111.07,ok
