@RELATION ALGORITHM_RUNS_SAT12-ALL

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,Expectation_algorithm_survival_forest,16.9,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,PAR10_algorithm_survival_forest,16.9,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,isac,9.57,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,multiclass_algorithm_selector,20.84,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,oracle,4.69,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,per_algorithm_RandomForestRegressor_regressor,39.9,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,satzilla-11,20.84,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,sbs,9.57,ok
SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf,1,sunny,23.09,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,Expectation_algorithm_survival_forest,5.2,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,PAR10_algorithm_survival_forest,7.53,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,isac,0.64,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,multiclass_algorithm_selector,0.4,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,oracle,0.4,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.64,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,satzilla-11,0.64,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,sbs,5.2,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,sunny,0.64,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,Expectation_algorithm_survival_forest,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,PAR10_algorithm_survival_forest,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,isac,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,multiclass_algorithm_selector,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,oracle,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,satzilla-11,0.12,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,sbs,19.13,ok
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf,1,sunny,0.12,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,multiclass_algorithm_selector,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,oracle,0.0,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,satzilla-11,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf,1,sunny,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,Expectation_algorithm_survival_forest,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,PAR10_algorithm_survival_forest,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,isac,170.13,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,multiclass_algorithm_selector,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,oracle,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,per_algorithm_RandomForestRegressor_regressor,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,satzilla-11,11.86,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,sbs,170.13,ok
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,sunny,11.34,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,Expectation_algorithm_survival_forest,226.29,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,PAR10_algorithm_survival_forest,226.29,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,multiclass_algorithm_selector,527.21,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,oracle,81.16,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,per_algorithm_RandomForestRegressor_regressor,226.29,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,satzilla-11,527.21,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf,1,sunny,226.29,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,Expectation_algorithm_survival_forest,244.66,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,PAR10_algorithm_survival_forest,244.66,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,isac,61.93,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,multiclass_algorithm_selector,31.71,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,oracle,31.71,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,per_algorithm_RandomForestRegressor_regressor,110.7,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,satzilla-11,31.71,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,sbs,1200,timeout
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf,1,sunny,367.33,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,Expectation_algorithm_survival_forest,0.84,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,PAR10_algorithm_survival_forest,0.84,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,isac,0.68,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,multiclass_algorithm_selector,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,oracle,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.21,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,satzilla-11,0.01,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,sbs,0.84,ok
SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf,1,sunny,0.01,ok
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,isac,121.8,ok
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,multiclass_algorithm_selector,1.38,ok
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,oracle,1.38,ok
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,sbs,121.8,ok
SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf,1,sunny,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,Expectation_algorithm_survival_forest,46.41,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,PAR10_algorithm_survival_forest,46.41,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,isac,757.87,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,multiclass_algorithm_selector,46.41,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,oracle,46.41,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,per_algorithm_RandomForestRegressor_regressor,127.52,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,satzilla-11,46.41,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,sbs,757.87,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,sunny,127.52,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,Expectation_algorithm_survival_forest,2.67,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,PAR10_algorithm_survival_forest,2.67,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,isac,2.67,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,multiclass_algorithm_selector,1.21,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,oracle,0.57,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,per_algorithm_RandomForestRegressor_regressor,5.77,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,satzilla-11,1.21,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,sbs,2.67,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf,1,sunny,5.77,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,Expectation_algorithm_survival_forest,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,PAR10_algorithm_survival_forest,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,isac,48.83,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,multiclass_algorithm_selector,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,oracle,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,per_algorithm_RandomForestRegressor_regressor,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,satzilla-11,109.29,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,sbs,48.83,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf,1,sunny,9.43,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,Expectation_algorithm_survival_forest,113.14,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,PAR10_algorithm_survival_forest,113.14,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,isac,0.73,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,multiclass_algorithm_selector,0.01,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,oracle,0.0,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.01,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,satzilla-11,0.0,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,sbs,113.14,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf,1,sunny,113.14,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,Expectation_algorithm_survival_forest,0.03,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,PAR10_algorithm_survival_forest,0.03,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,isac,0.9,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,multiclass_algorithm_selector,0.01,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,oracle,0.0,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.03,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,satzilla-11,0.01,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,sbs,0.9,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,sunny,0.0,ok
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,isac,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,multiclass_algorithm_selector,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,oracle,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,per_algorithm_RandomForestRegressor_regressor,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,satzilla-11,1200,timeout
SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf,1,sbs,1200,timeout
