@RELATION ALGORITHM_RUNS_SAT12-RAND

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok , timeout , memout , not_applicable , crash , other}

@DATA
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,Expectation_algorithm_survival_forest,0.47,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,PAR10_algorithm_survival_forest,0.47,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,isac,0.12,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,multiclass_algorithm_selector,0.12,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,oracle,0.05,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,per_algorithm_RandomForestRegressor_regressor,0.47,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,satzilla-11,0.12,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,sbs,0.47,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,sunny,0.05,ok
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1455331099-09-SAT.cnf,1,Expectation_algorithm_survival_forest,1200,timeout
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1455331099-09-SAT.cnf,1,PAR10_algorithm_survival_forest,1200,timeout
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1455331099-09-SAT.cnf,1,isac,1200,timeout
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1455331099-09-SAT.cnf,1,multiclass_algorithm_selector,1200,timeout
